player_tm_id,match_id,date,competition,team,opponent,minutes_played,sub_on_minute,sub_off_minute
579287,tm_2023-06-19_4046386,2023-06-19,U21Q,8595,55220,90,,
651269,tm_2023-06-19_4046386,2023-06-19,U21Q,8595,55220,90,,
667287,tm_2023-06-19_4046386,2023-06-19,U21Q,8595,55220,90,,
833817,tm_2023-06-19_4046386,2023-06-19,U21Q,8595,55220,60,,60.0
715653,tm_2023-06-20_4046437,2023-06-20,U21Q,56252,24958,87,,87.0
465818,tm_2023-07-01_4088029,2023-07-01,MEXA,3631,49283,66,,66.0
540315,tm_2023-07-01_4088030,2023-07-01,MEXA,7633,13353,90,,
347932,tm_2023-07-02_4088033,2023-07-02,MEXA,5662,7055,8,82.0,
572675,tm_2023-07-02_4088035,2023-07-02,MEXA,1804,1146,90,,
602324,tm_2023-07-02_4088034,2023-07-02,MEXA,3711,8590,90,,
857948,tm_2023-07-02_4088034,2023-07-02,MEXA,3711,8590,90,,
468174,tm_2023-07-03_4088036,2023-07-03,MEXA,1403,4961,90,,
837619,tm_2023-07-03_4100633,2023-07-03,M23A,110459,110460,90,,
347932,tm_2023-07-08_4088064,2023-07-08,MEXA,5662,1403,90,,
468174,tm_2023-07-08_4088064,2023-07-08,MEXA,1403,5662,90,,
572675,tm_2023-07-08_4088068,2023-07-08,MEXA,1804,3711,79,,79.0
602324,tm_2023-07-08_4088068,2023-07-08,MEXA,3711,1804,90,,
837619,tm_2023-07-08_4102649,2023-07-08,M23A,110459,110468,90,,
857948,tm_2023-07-08_4088068,2023-07-08,MEXA,3711,1804,65,,65.0
446106,tm_2023-07-09_4088066,2023-07-09,MEXA,40188,6711,45,46.0,
540315,tm_2023-07-09_4088069,2023-07-09,MEXA,7633,82696,90,,
166158,tm_2023-07-11_4097824,2023-07-11,CLQ,3258,3737,90,,
265383,tm_2023-07-11_4089206,2023-07-11,CLQ,1064,17149,90,,
439914,tm_2023-07-11_4089203,2023-07-11,CLQ,9644,1002,45,46.0,
492955,tm_2023-07-11_4089206,2023-07-11,CLQ,1064,17149,68,,68.0
988188,tm_2023-07-12_4089246,2023-07-12,ECLQ,23371,10532,90,,
802855,tm_2023-07-13_4102655,2023-07-13,M23A,110459,110451,90,,
837619,tm_2023-07-13_4102655,2023-07-13,M23A,110459,110451,84,,84.0
468174,tm_2023-07-14_4088839,2023-07-14,MEXA,1403,8590,90,,
1045375,tm_2023-07-15_4231840,2023-07-15,HRSC,447,419,69,,69.0
205927,tm_2023-07-15_4231840,2023-07-15,HRSC,419,447,90,,
220793,tm_2023-07-15_4093041,2023-07-15,RUSS,964,2410,90,,
371001,tm_2023-07-15_4231840,2023-07-15,HRSC,419,447,90,,
439914,tm_2023-07-15_4085950,2023-07-15,PLSC,9644,255,61,,61.0
446106,tm_2023-07-15_4088843,2023-07-15,MEXA,40188,4961,90,,
580451,tm_2023-07-15_4231840,2023-07-15,HRSC,419,447,90,,
602324,tm_2023-07-15_4088842,2023-07-15,MEXA,3711,13353,84,,84.0
609255,tm_2023-07-15_4088842,2023-07-15,MEXA,3711,13353,90,,
668207,tm_2023-07-15_4231840,2023-07-15,HRSC,419,447,6,84.0,
685160,tm_2023-07-15_4111622,2023-07-15,SCP,1192,3033,90,,
