name,squad,position,club,tm_id,market_value_eur
Tomáš Holeš,Czech Republic,DF,Slavia Prague,216278,
Robin Hranáč,Czech Republic,DF,TSG Hoffenheim,620217,
Vladimír Coufal,Czech Republic,DF,TSG Hoffenheim,157672,
Štěpán Chaloupek,Czech Republic,DF,Slavia Prague,944827,
Ladislav Krejčí,Czech Republic,DF,Wolverhampton Wanderers,345911,
Vladimír Darida,Czech Republic,MF,Hradec Králové,179643,
Adam Hložek,Czech Republic,FW,TSG Hoffenheim,552057,
Patrik Schick,Czech Republic,FW,Bayer Leverkusen,242086,
Jan Kuchta,Czech Republic,FW,Sparta Prague,334802,
Lukáš Červ,Czech Republic,MF,Viktoria Plzeň,611049,
Mojmír Chytil,Czech Republic,FW,Slavia Prague,405855,
David Jurásek,Czech Republic,DF,Slavia Prague,500054,
Pavel Šulc,Czech Republic,FW,Lyon,500053,
Jindřich Staněk,Czech Republic,GK,Slavia Prague,242089,
Lukáš Provod,Czech Republic,MF,Slavia Prague,292779,
Michal Sadílek,Czech Republic,MF,Slavia Prague,321204,
Tomáš Chorý,Czech Republic,FW,Slavia Prague,198614,
Jaroslav Zelený,Czech Republic,DF,Sparta Prague,142219,
David Douděra,Czech Republic,DF,Slavia Prague,493758,
Tomáš Souček,Czech Republic,MF,West Ham United,283628,
Lukáš Horníček,Czech Republic,GK,Braga,629773,
Alexandr Sojka,Czech Republic,MF,Viktoria Plzeň,826103,
Hugo Sochůrek,Czech Republic,MF,Sparta Prague,1206877,
Denis Višinský,Czech Republic,FW,Viktoria Plzeň,652060,
Raúl Rangel,Mexico,GK,Guadalajara,802855,
Jorge Sánchez,Mexico,DF,PAOK,1169518,
César Montes,Mexico,DF,Lokomotiv Moscow,387687,
Edson Álvarez,Mexico,DF,Fenerbahçe,401356,
Érik Lira,Mexico,MF,Cruz Azul,602324,
Luis Romo,Mexico,MF,Guadalajara,532938,
Álvaro Fidalgo,Mexico,MF,Real Betis,261503,
Santiago Giménez,Mexico,FW,Milan,552955,
Guillermo Ochoa,Mexico,GK,AEL Limassol,29559,
Israel Reyes,Mexico,DF,América,941928,
Julián Quiñones,Mexico,FW,Al-Qadsiah,416090,
Orbelín Pineda,Mexico,MF,AEK Athens,334042,
Obed Vargas,Mexico,MF,Atlético Madrid,889435,
Mateo Chávez,Mexico,DF,AZ,1066953,
César Huerta,Mexico,FW,Anderlecht,540315,
Jesús Gallardo,Mexico,DF,Toluca,344854,
Brian Gutiérrez,Mexico,MF,Guadalajara,1428936,
Ronwen Williams,South Africa,GK,Mamelodi Sundowns,175577,
Thabang Matuludi,South Africa,DF,Polokwane City,1109254,
Khulumani Ndamane,South Africa,DF,Mamelodi Sundowns,1283140,
Thalente Mbatha,South Africa,MF,Orlando Pirates,735697,
Aubrey Modiba,South Africa,DF,Mamelodi Sundowns,353432,
Oswin Appollis,South Africa,FW,Orlando Pirates,673381,
Tshepang Moremi,South Africa,FW,Orlando Pirates,844485,
Lyle Foster,South Africa,FW,Burnley,467623,
Relebohile Mofokeng,South Africa,FW,Orlando Pirates,1125037,
Themba Zwane,South Africa,MF,Mamelodi Sundowns,176578,
Thapelo Maseko,South Africa,FW,AEL Limassol,983330,
Sphephelo Sithole,South Africa,MF,Tondela,401736,
Mbekezeli Mbokazi,South Africa,DF,Chicago Fire FC,1378320,
Iqraam Rayners,South Africa,FW,Mamelodi Sundowns,337884,
Sipho Chaine,South Africa,GK,Orlando Pirates,453370,
Evidence Makgopa,South Africa,FW,Orlando Pirates,746781,
Samukele Kabini,South Africa,DF,Molde,1175086,
Nkosinathi Sibisi,South Africa,DF,Orlando Pirates,399068,
Khuliso Mudau,South Africa,DF,Mamelodi Sundowns,450806,
Ime Okon,South Africa,DF,Hannover 96,1107265,
Ricardo Goss,South Africa,GK,Siwelele,258304,
Jayden Adams,South Africa,MF,Mamelodi Sundowns,804472,
Olwethu Makhanya,South Africa,DF,Philadelphia Union,1069801,
Kamogelo Sebelebele,South Africa,FW,Orlando Pirates,994370,
Bradley Cross,South Africa,DF,Kaizer Chiefs,555209,
Lawrence Ati-Zigi,Ghana,GK,St. Gallen,,
Jens Castrop,South Korea,DF,Borussia Mönchengladbach,613192,
Nikola Vasilj,Bosnia and Herzegovina,GK,FC St. Pauli,248454,
Dennis Hadžikadunić,Bosnia and Herzegovina,DF,Sampdoria,322065,
Tarik Muharemović,Bosnia and Herzegovina,DF,Sassuolo,679423,
Benjamin Tahirović,Bosnia and Herzegovina,MF,Brøndby,787907,
Amar Dedić,Bosnia and Herzegovina,DF,Benfica,519184,
Armin Gigović,Bosnia and Herzegovina,MF,Young Boys,651269,
Samed Baždar,Bosnia and Herzegovina,FW,Jagiellonia Białystok,710969,
Ermedin Demirović,Bosnia and Herzegovina,FW,VfB Stuttgart,335457,
Edin Džeko,Bosnia and Herzegovina,FW,Schalke 04,28396,
Mladen Jurkas,Bosnia and Herzegovina,GK,Borac Banja Luka,952692,
Ivan Bašić,Bosnia and Herzegovina,MF,Astana,1178517,
Ivan Šunjić,Bosnia and Herzegovina,MF,Pafos,226097,
Amar Memić,Bosnia and Herzegovina,MF,Viktoria Plzeň,638990,
Amir Hadžiahmetović,Bosnia and Herzegovina,MF,Hull City,293213,
Dženis Burnić,Bosnia and Herzegovina,MF,Karlsruher SC,251295,
Kerim Alajbegović,Bosnia and Herzegovina,FW,Red Bull Salzburg,929994,
Esmir Bajraktarević,Bosnia and Herzegovina,FW,PSV Eindhoven,925862,
Stjepan Radeljić,Bosnia and Herzegovina,DF,Rijeka,384568,
Martin Zlomislić,Bosnia and Herzegovina,GK,Rijeka,495320,
Haris Tabaković,Bosnia and Herzegovina,FW,Borussia Mönchengladbach,1040473,
Arjan Malić,Bosnia and Herzegovina,DF,Sturm Graz,805534,
Jovo Lukić,Bosnia and Herzegovina,FW,Universitatea Cluj,457738,
Ermin Mahmić,Bosnia and Herzegovina,MF,Slovan Liberec,803049,
Dayne St. Clair,Canada,GK,Inter Miami CF,439750,
Alistair Johnston,Canada,DF,Celtic,637446,
Alfie Jones,Canada,DF,Middlesbrough,1307141,
Luc de Fougerolles,Canada,DF,Dender,921995,
Joel Waterman,Canada,DF,Chicago Fire FC,441738,
Mathieu Choinière,Canada,MF,Los Angeles FC,589006,
Stephen Eustáquio,Canada,MF,Los Angeles FC,512913,
Cyle Larin,Canada,FW,Southampton,343463,
Jonathan David,Canada,FW,Juventus,533738,
Liam Millar,Canada,MF,Hull City,487417,
Tani Oluwaseyi,Canada,FW,Villarreal,972465,
Derek Cornelius,Canada,DF,Rangers,328609,
Jacob Shaffelburg,Canada,MF,Los Angeles FC,637632,
Moïse Bombito,Canada,DF,Nice,1089202,
Maxime Crépeau,Canada,GK,Orlando City SC,189014,
Tajon Buchanan,Canada,FW,Villarreal,638793,
Owen Goodman,Canada,GK,Barnsley,814848,
Alphonso Davies,Canada,DF,Bayern Munich,424204,
Jonathan Osorio,Canada,MF,Toronto FC,260807,
Richie Laryea,Canada,DF,Toronto FC,417348,
Niko Sigur,Canada,DF,Hajduk Split,1045375,
Promise David,Canada,FW,Union Saint-Gilloise,888785,
Nathan Saliba,Canada,MF,Anderlecht,842420,
Jayden Nelson,Canada,FW,Austin FC,635445,
Mahmud Abunada,Qatar,GK,Al-Rayyan,669629,
Pedro Miguel,Qatar,DF,Al-Sadd,299400,
Lucas Mendes,Qatar,DF,Al-Wakrah,1501873,
Issa Laye,Qatar,DF,Al-Arabi,1264176,
Jassem Gaber,Qatar,DF,Al-Rayyan,735813,
Abdulaziz Hatem,Qatar,MF,Al-Rayyan,113915,
Ahmed Alaaeldin,Qatar,FW,Al-Rayyan,187987,
Edmilson Junior,Qatar,FW,Al-Duhail,237846,
Mohammed Muntari,Qatar,FW,Al-Gharafa,266935,
Akram Afif,Qatar,FW,Al-Sadd,336646,
Karim Boudiaf,Qatar,MF,Al-Duhail,222385,
Ayoub Al-Oui,Qatar,DF,Al-Gharafa,1054631,
Yusuf Abdurisag,Qatar,FW,Al-Wakrah,589099,
Boualem Khoukhi,Qatar,DF,Al-Sadd,222669,
Ahmed Al-Ganehi,Qatar,MF,Al-Gharafa,670659,
